id,text
0,"Bone Mineral Density Is an Indicator of Bone Health 455 Micronutrients Essential for Bone Health: Calcium and Vitamin D 457 Other Essential Micronutrients for Bone Health: Phosphorous, Magnesium, Fluoride, and Vitamin"
1,Chapter 10: Nutrients Important for Metabolism and Blood Function 507 Blood’s Function in the Body and in Metabolism Support 509
2,Vitamins Important for Metabolism and for Blood Function and Renewal 523 Minerals Important for Metabolism and for Blood Function and Renewal 537
3,"Too Little or Too Much Weight: What Are the Health Risks? 575 Dietary, Behavioral, and Physical Activity Recommendations for Weight Management 581"
4,"Dr. Maureen Zimmerman earned her undergraduate degree in Nutrition and Dietetics at Arizona State University, a Master’s Degree in Public Health from the University of Hawaii, and a Doctorate in Educational Leadership, with a specialization in educational research, from Northern Arizona University. She is a Registered Dietitian and has been a residential faculty member at Mesa Community College in Mesa, Arizona since 1991. She has been involved in many aspects of college life, most of them related to improving teaching and learning. She works indefatigably to assure that students enjoy their learning journey, regularly applying learning science to the online and ground classrooms. She is active every day of the week either practicing yoga, biking, hiking, tap dancing, or running. She enjoys reading a variety of genres, and likes to drink good coffee in the company of friends and family. She watches international films regularly, and tries to eat many fruits and vegetables every day. Her food first philosophy is summed up in this statement: “Enjoy real food, enjoy it with others, enjoy it in just the right amounts.”"
5,"In Chapter 1 ""Nutrition and You"", we provide an overview of nutrition as an evidence-based science and explore the concepts of health, wellness, and disease. We also provide an introduction to the different types of nutrients, health factors, personal health assessment, and the concept of sustainable food systems. In Chapter 2 ""Achieving a Healthy Diet"", we explore the tools you can use to achieve a healthy diet, as well as important nutrition concepts like balance and moderation."
6,"In Chapter 3 ""Nutrition and the Human Body"", because we know that you may not have a background in biology, we start with a tour through the human body, from the single cell to the full organism, we set up for a discussion about the processes of digestion and absorption, followed by explorations of the other organ systems. After that, we discuss the concept of energy and calories. We also discuss some disorders and diseases related to nutritional health. In Chapter 4 ""Carbohydrates"", we explore the many types of carbohydrates, including their functions. We also take a look at diabetes and at sugar substitutes. In Chapter 5 ""Lipids"", we look at the types, structure, and roles of lipids, and we explain the different types of cholesterol in the blood. We also explore topics of interest such as omega-3 and omega-6 fatty acids and trans fats. In Chapter 6 ""Proteins"", we cover the structure and roles of protein, and explore the consequences of getting too little or too much protein in your diet. Tips for getting the right amount and quality of protein, as well as a look at special populations, such as the elderly and athletes, are also covered. In Chapter 7 ""Nutrients Important to Fluid and Electrolyte Balance"", we look at the nutrients important to fluid and electrolyte balance, including water, sodium, chloride, and potassium. We also look at sports drinks, caffeinated beverages, and alcohol. In Chapter 8 ""Nutrients Important As Antioxidants"", nutrients important as antioxidants are explored, starting with an explanation of what oxidation and antioxidants are, then looking at vitamins E, C, and A, selenium, and phytochemicals. In Chapter 9 ""Nutrients Important for Bone Health"", we delve into nutrients important for bone health. First, we explore the structure and function of bones, and then calcium, vitamin D, phosphorus, magnesium, fluoride, and vitamin K. A look at osteoporosis and at supplements rounds out this chapter. In Chapter 10 ""Nutrients Important for Metabolism and Blood Function"", we look at the nutrients important in energy metabolism and blood health, by first looking at blood and at metabolism, and then discussing the B vitamins, vitamin K, magnesium, iron, zinc, and other micronutrients. We also explore iron-deficient anemia and iron toxicity. In Chapter 11 ""Energy Balance and Body Weight"", we take a look at the obesity epidemic and eating disorders—the extremes of energy imbalance—and we look at evidence-based recommendations for maintaining a healthy weight. Chapter 12 ""Nutrition through the Life Cycle: From Pregnancy to the Toddler Years"" is the first of two chapters exploring nutrition through"
7,"the life cycle and it looks at pregnancy through the toddler years. Topics include pregnancy, breastfeeding, introducing solid foods, and nutrition during the toddler years. In Chapter 13 ""Nutrition through the Life Cycle: From Childhood to the Elderly Years"" we continue to explore nutrition through the life cycle, this time looking at childhood to the elderly years. In Chapter 14 ""Nutrition and Society: Food Politics and Perspectives"", we explore food politics, sustainability, the food industry, food security, and diets from around the world. In Chapter 15 ""Achieving Optimal Health: Wellness and Nutrition"", we look at a number of topics of interest to students: diet trends, food supplements and food replacements, fitness, chronic diseases, and food safety. Also included in this chapter are tips for living a sustainable lifestyle, and information about careers in nutrition."
8,"The sum of all processes involved in how organisms obtain nutrients, metabolize them, and use them to support all of life’s processes. The investigation of how an organism is nourished, and how nourishment affects personal health, population health, and planetary health. Your ability to wake up, to think clearly, to communicate, to hope, to dream, to go to school, to gain knowledge, to go to work, to earn a living, and to do all of the things that you like to do are dependent upon one factor—your health. Good health means you are able to function normally and work hard to achieve your goals in life. For the next few minutes, take some time to view snapshots of the insides of the refrigerators of American mechanics, doctors, school teachers, hunters, short- order cooks, college students, vegans, and more. Visit Mark Menjivar’s portrait exhibition, “You Are What You Eat” (Note 1.7 ""Interactive 1.1""). Menjivar hopes these images will invoke new thoughts about, “How we care for our bodies. How we care for others. And how we care for the land.” As you look at these images think about your personal health, the health of your family and friends, and the health of this planet. These hopes encompass the inspirations for this book."
9,"A state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity. Any abnormal condition that affects the health of an organism and is characterized by specific signs and symptoms."
